,Player Name,Player Country,Points,Maps Completed
0,brisketsmoker98,The United States,715259,832
1,Mr.Dragon,The United States,598239,680
2,Auzzie,Canada,470680,553
3,twitch.tv/frumpy7,The United States,443258,596
4,.valuedķzed,The United States,387427,514
5,_TurtleBro,The United States,383991,602
6,jeremy,The United States,377169,575
7,parrino,The United States,373127,671
8,JDK,The United States,356892,560
9,mask,Canada,352136,431
10,i 3 stack casual all day,The United Kingdom,351940,112
11,IanStayForAnHour,The United States,340113,518
12,goron_elder_skooks,The United States,337628,606
13,illusory,The United States,336047,803
14,Stardom,Canada,322511,494
15,Aprolite,The United States,312248,700
16,☆ Lwite ☆,The United Kingdom,308306,612
17,Noah,The United States,308175,592
18,bananablaster55 :),The United States,307738,305
19,peter butts,The United States,307294,531
20,Crackin,The United States,303846,647
21,Kuiq,The United States,300361,741
22,just jim,The United States,299880,449
23,Tabbit,The United States,294722,610
24,Jupiter,The United States,289206,381
